"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","CCAA","Província_naixement","Nombre"
2021,1,"Ciutat Vella",1,"el Raval","Dones","Andalusia","Almeria",47
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Andalusia","Almeria",8
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Andalusia","Almeria",49
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Andalusia","Almeria",23
2021,2,"Eixample",5,"el Fort Pienc","Dones","Andalusia","Almeria",50
2021,2,"Eixample",6,"la Sagrada Família","Dones","Andalusia","Almeria",90
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Andalusia","Almeria",47
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Andalusia","Almeria",54
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Andalusia","Almeria",97
2021,2,"Eixample",10,"Sant Antoni","Dones","Andalusia","Almeria",62
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Andalusia","Almeria",69
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Andalusia","Almeria",4
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Andalusia","Almeria",101
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Andalusia","Almeria",36
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Andalusia","Almeria",25
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Andalusia","Almeria",51
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Andalusia","Almeria",79
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Andalusia","Almeria",80
2021,4,"Les Corts",19,"les Corts","Dones","Andalusia","Almeria",88
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Andalusia","Almeria",69
2021,4,"Les Corts",21,"Pedralbes","Dones","Andalusia","Almeria",26
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Andalusia","Almeria",3
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Andalusia","Almeria",19
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Andalusia","Almeria",11
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Andalusia","Almeria",27
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Andalusia","Almeria",35
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Andalusia","Almeria",38
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Andalusia","Almeria",26
2021,6,"Gràcia",29,"el Coll","Dones","Andalusia","Almeria",14
2021,6,"Gràcia",30,"la Salut","Dones","Andalusia","Almeria",26
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Andalusia","Almeria",61
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Andalusia","Almeria",57
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Andalusia","Almeria",86
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","Andalusia","Almeria",35
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","Andalusia","Almeria",74
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Andalusia","Almeria",18
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","Andalusia","Almeria",107
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","Andalusia","Almeria",28
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Andalusia","Almeria",17
2021,7,"Horta-Guinardó",40,"Montbau","Dones","Andalusia","Almeria",16
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Andalusia","Almeria",18
2021,7,"Horta-Guinardó",42,"la Clota","Dones","Andalusia","Almeria",0
2021,7,"Horta-Guinardó",43,"Horta","Dones","Andalusia","Almeria",88
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Andalusia","Almeria",68
2021,8,"Nou Barris",45,"Porta","Dones","Andalusia","Almeria",88
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","Andalusia","Almeria",49
2021,8,"Nou Barris",47,"Can Peguera","Dones","Andalusia","Almeria",7
2021,8,"Nou Barris",48,"la Guineueta","Dones","Andalusia","Almeria",67
2021,8,"Nou Barris",49,"Canyelles","Dones","Andalusia","Almeria",33
2021,8,"Nou Barris",50,"les Roquetes","Dones","Andalusia","Almeria",54
2021,8,"Nou Barris",51,"Verdun","Dones","Andalusia","Almeria",51
2021,8,"Nou Barris",52,"la Prosperitat","Dones","Andalusia","Almeria",111
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","Andalusia","Almeria",33
2021,8,"Nou Barris",54,"Torre Baró","Dones","Andalusia","Almeria",4
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Andalusia","Almeria",30
2021,8,"Nou Barris",56,"Vallbona","Dones","Andalusia","Almeria",6
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Andalusia","Almeria",33
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","Andalusia","Almeria",6
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","Andalusia","Almeria",47
2021,9,"Sant Andreu",60,"Sant Andreu","Dones","Andalusia","Almeria",153
2021,9,"Sant Andreu",61,"la Sagrera","Dones","Andalusia","Almeria",93
2021,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Andalusia","Almeria",28
2021,9,"Sant Andreu",63,"Navas","Dones","Andalusia","Almeria",49
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Andalusia","Almeria",97
2021,10,"Sant Martí",65,"el Clot","Dones","Andalusia","Almeria",51
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Andalusia","Almeria",36
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Andalusia","Almeria",11
2021,10,"Sant Martí",68,"el Poblenou","Dones","Andalusia","Almeria",55
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Andalusia","Almeria",32
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Andalusia","Almeria",79
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Andalusia","Almeria",66
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Andalusia","Almeria",100
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Andalusia","Almeria",114
2021,1,"Ciutat Vella",1,"el Raval","Dones","Andalusia","Cadis",65
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Andalusia","Cadis",22
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Andalusia","Cadis",32
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Andalusia","Cadis",32
2021,2,"Eixample",5,"el Fort Pienc","Dones","Andalusia","Cadis",34
2021,2,"Eixample",6,"la Sagrada Família","Dones","Andalusia","Cadis",79
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Andalusia","Cadis",42
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Andalusia","Cadis",57
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Andalusia","Cadis",83
2021,2,"Eixample",10,"Sant Antoni","Dones","Andalusia","Cadis",49
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Andalusia","Cadis",69
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Andalusia","Cadis",1
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Andalusia","Cadis",72
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Andalusia","Cadis",14
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Andalusia","Cadis",25
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Andalusia","Cadis",41
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Andalusia","Cadis",39
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Andalusia","Cadis",73
2021,4,"Les Corts",19,"les Corts","Dones","Andalusia","Cadis",60
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Andalusia","Cadis",38
2021,4,"Les Corts",21,"Pedralbes","Dones","Andalusia","Cadis",11
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Andalusia","Cadis",15
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Andalusia","Cadis",21
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Andalusia","Cadis",18
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Andalusia","Cadis",32
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Andalusia","Cadis",54
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Andalusia","Cadis",22
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Andalusia","Cadis",25
2021,6,"Gràcia",29,"el Coll","Dones","Andalusia","Cadis",18
2021,6,"Gràcia",30,"la Salut","Dones","Andalusia","Cadis",17
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Andalusia","Cadis",71
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Andalusia","Cadis",52
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Andalusia","Cadis",41
